11,m,愛想はいいけど、お世辞は絶対言えないピュア青年。大らかな外見と内に秘める情熱は、飾り気などまったくなし。夢や理想に向かって努力していくキミなので、老け込むこともありません。思ったことをズバズバ言って、時には周囲をビックリさせちゃうこともあるけれど、本人はまったく悪気ナシ。けんかをしても、後腐れのないサッパリとした性格です。律義で裏表のない性格なので、一度信用されると長続きする関係に。でも、誠意があって楽天的な性格が裏目にでちゃうと、他人にだまされる可能性も大アリなので、十分気をつけましょう。,3,皆に好かれる性格だが、警戒心が強いので最初はとても慎重、でも黒ひょうの彼女には一目ぼれ。強く惹かれ珍しく燃え上がる恋に落ちる。,2,実直で地味な貴方とは正反対に見えるチータだが、意外と相性は良く、長く付き合えそう。お互いくよくよしないので、前向きな友人関係が続く。,5,仕事上で多少の甘えがあり率先して行動するタイプではないあなたに、なぜか気に掛けてくれ手を貸してくれる虎は最高のビジネスパートナー。
11,f,外見は素朴で明るくてやんちゃなあなた。一見気が強そうに見えても、実際は穏やかで純粋な心を持った古風な女の子です。周囲への気遣いは行き届いているけど、ホントは好き嫌いが激しくて、曲がったことは大嫌い！また、自分の身内に囲まれていると、ワガママな面がでてしまいがちになり、あなたの良さが半減してしまうので要注意です。好奇心が旺盛なわりには警戒心が強く、人見知りをするので親しくなるのにちょっと時間がかかるタイプ。でも、いったん信用して心を許した相手とは、生涯変わらぬ長い付き合いをします。,5,結構やんちゃで勝気のあなたは、強い男にあこがれる。虎の彼ならたくましくて守ってくれる。寂しがり屋で涙もろいあなたの強い味方になる。,3,親しくなるのに時間がかかり好き嫌いも激しいあなたでも、黒ひょうとは相性良くすぐに仲良くなれる。一度オープンハートすると生涯の友人に。,8,女性にはとても優しいゾウは、あなたをいたわってくれる。安心できる環境の中で力を発揮できるあなたにとって、最高のビジネスパートナー。
12,m,キミは、引き締まった風貌の中に、繊細さの見えるインテリタイプ。人の機嫌を伺うようなことは大の苦手だし、人付き合いも上手ではありません。でも、正義感が強くウソのない誠実さで、「縁の下の力持ち」的存在に。時間をかけることでだんだんと周囲に信頼されていきます。人間嫌いじゃないけど、心を許せる少数の友達をキチンと大切にする人。また、妥協を許さない完璧主義者！一度決めたことは、その道のプロになるまでトコトン努力する頑張り屋さん。周りの変化に惑わされず、自分を保持できる安定した精神状態を持つ人です。,12,とてもソフトな対人対応をするあなたは、女性の母性本能を刺激し年上の女性から好意を寄せられる。こじかなら多くを語らずとも分かり合える。,11,努力主義者のあなたに対して尊敬の念を抱いている狼は、とても好意的。価値観の違う二人だが、補いう合うことで親交を深めることができる。,2,やると決めたら最後までやりぬく根性を持っているあなたと、可能性を追求しながら何でも果敢に挑戦するチータが組めば、もはや敵なし。
12,f,あなたは、甘えや依存心がなく、周囲から頼りにされる存在。外見は丸みがなく神経質そうな人が多けど、飾り気のないサッパリとした人です。行動力はあるけど、人情にチョット疎いところがあり、孤立しないように要注意。本来は平和主義者で、カッとなって腹をたてることはまずありません。けじめを大切にしていて、そのためには徹夜も全然へっちゃら！また、冷静で感情に流されるようなことはなく、何事も割り切っていますが、決して冷たいわけではありません。柔軟性もあり、へこたれることもなし。自由でいることを好み、束縛されるのが苦手です。,7,自由を好み束縛される環境に弱いあなたは、結構しっかり者で倹約家。現実的な子守熊なら、よく学びよく遊ぶことの好きなあなたには最高。,3,さっぱりした印象で慕われるあなたは、直感的に良い人か悪い人か判断でき、人付き合いが苦手。黒ひょうなら情熱的な雰囲気に惹かれ長続き。,11,苦手な協調性を共用されない関係だから、お互いにとても楽。一を聞いて十を知るあなたと言葉足らずの狼のコミュニケーションは実に見事。
13,m,とにかく曲がったことが大嫌いなキミ。正義感は人一倍強く、たとえ人のことだろうが筋を通そうとします。自分が納得いかないことには絶対にウンと言わない頑固者。でも、周囲が一目置くくらい自分の得意分野でナンバーワンをとるパワーの持ち主。ただ、飽きっぽく根気が足りないのがキミの難点。いつももうひとふんばりするように心がけよう。そうすればキミの独特の発想力がもっと認められるはず。要領は良くないけど、恵まれた運の持ち主なので、キミの個性がすべての面で発展していくこと間違いナシ！,8,恋愛に関してもぶっきらぼうな貴方はあまり干渉しないゾウの彼女なら気も合う。面倒見はいいが慎重だからさりげなく傍に居てくれるかんじ。,5,干渉されたくない二人は、考え方も良く似ていてス路レスがたまらない。お互いの生活圏を侵さず他人から冷たい関係と思われるが、それがいい。,12,こじかが補佐役になりス同権は狼が握ると、相性はいい。ただし、こじかがあれこれ口をだしたりすると狼はそっぽを向く。
13,f,あなたは人見知りをせず、どんな人にでも優しく親切。開けっぴろげで、社交家に見えるけどホントは他人から干渉されることが大嫌い！個性的なタイプが多く、独自の感覚や感性を大切にして人生を渡っていきます。とにかく平凡が嫌いで、生活や好みもちょっと人とは違う方がいいみたい。自分の好みの生活パターンを自ら作ってしまう人です。そのため、周囲との摩擦がおこることもありがちですが、直感力が鋭いので意外にも世渡り上手。絶対に人にゴマをすったり、機嫌をとったりしない純粋なところが、何と言ってもあなたの最大の魅力です！,5,他人から同見られている柿にしない貴方は平凡な相手よりも変わった虎がいい。虎は悠然としているが非常にバランス感覚が優れている。,2,あなたの独自の感性をチータは大事にしてくれる。チータのイケイケの所にセンスを感じてしまうようだ。友情以上の更衣が芽生えることもある。,12,プライドの高い貴方も、こじかの前では素顔で居られる。仕事はテキパキこなすし明るいので、人間関係もうまくまとまって、仕事は急上昇。
14,m,キミは、面倒見がとてもいい親切なナイスガイ。人から何か相談されると、一緒になって悩み、真剣に考えてしまう優しい人です。どんな時も大らかで平均的な生き方を望み、孤独が大嫌い！相手に自分を合わせていくことができ、人間関係や考え方に偏りは一切ありません。情報収集と客観的な判断力もズバ抜けていいので、世間からずれることもナシ。ただ、大きな計画や企画は自分の手に負えない気がして、チョット苦手みたい。現実とのギャップで、ついつい愚痴が多くなってしまうことも。実行力や粘り強さを身に付ければ、もう怖いモノなしです！,5,女性的な優しいをもつあなたには、男性的な強さと包容力を持つ虎。この二人が恋に落ちると、普段からは想像もつかない激しい面が顔を出す。,4,没個性のあなたから見ると、個性の強いライオンは頼もしく見える。実際にあなたを外的から守ってくれる。長い付き合いのできる貴重な存在。,6,仕事と割り切って付き合うと、とてもいい関係が保てる。何でも相談できる友人にもなれるが、あまり深入りしないのが良好な関係を続けるコツ。
14,f,おっとりしていて、そこはかとない色気が漂わせているあなた。広い趣味を持つ人が多く、仕事や趣味を通じて、世の中のためになるようなことをしたいと願っているみたい。人付き合いはソフトですが、プライドは高く、自分から折れたり譲ったりすることはまずありません。また、自分で自分をコントロールする力を持っていますが、人から無理やり押し付けられたことはガンとして拒絶する頑固な面もアリ。率先して行動する積極性には欠けているけど、受けて立つ忍耐強さはピカイチ！自分の要求を通す時の交渉や駆け引きも上手です。,5,親しみやすいほのかな色気のあなたは本来内気で、虎のようにグイグイ引っ張ってくれる人に弱い。相性も抜群で大いに恋愛をエンジョイ。,10,みんなと合わせているようでなかなか本心を明かさないあなたにとって、すべて察してくれるペガサスだけでは何でも話せる相手かもしれない。,6,人間関係と和を大切にする二人は職場でも特別な存在。隠健な仕事仲間で潤滑油的な役割を演じてくれるので雰囲気は和むが、効率も考えたい。
15,m,キミは何をやっても器用にこなせる人。楽天的で、どんなこともゲーム感覚でしまいます。また、世の中の流れを先取りする独特の鋭いカンの持ち主。それがどんな大きな希望を持っていても、叶える原動力になっているみたい。人生にも極めて意欲的で野心的、最も効率のいい方法を選ぶクールな能率主義者です。ただ、臨機応変で素早い行動が自信となって態度にでるので、周囲の人からはチョット恐れられることもあるかも。キミは年を重ねるごとにパワーが磨かれ、どんどん運勢がアップする強運を持っているので、何をしても、成功しそうです！,10,行動力あるあなたに、自由に飛び回るペガサスの女性はピッタリ。合理的に判断するあなたにない、カンと粘りを持つ感性はかけがえない。,5,能率主義者のあなたに、虎は最高の理解者でありライバルでもある。お互いを高めあう最高の運気を持っていて、切磋琢磨の関係で友情は長続き。,7,せっかちで短期なあなたには、常に長期的に物事を捉える子守熊は良きビジネスパートナー。感覚も合うので協力関係を築くことが可能。
15,f,あなたは強い自我があり、大きな自信を持っている人です。研究や探求の強さも誰にも負けません。また周囲の人に行き届いた気遣いをし、要領よく立ち回ることができます。一見穏やかそうでも、情熱的で競争意識が強く、何事にも全力でぶつかっていくパワーの持ち主。でも自分が信じたものが全てという頑固な面もあります。怒りを自分の中にためこんで、ある日突然爆発することもしばしば。そうなる前に、もっと幅広くいろんな人と交流して、心を開いて話し合えば、ストレス解消にもなるのでは？もう少しゆとりを持つことが大切！,11,情熱的でアクティブなあなたは、情にもろい面もあり同情から恋愛に発展することもあるが、知性的で合理的に物事を判断する狼が一番の理想。,4,向上心あふれるあなたには、弱音を吐かないライオンが最高。お人よしのあなたと厳しい目を持ったライオンの組み合わせは補い合える関係。,9,攻めに強く守り弱いあなたのすばらしいパートナーは、しっかりとフォローと後始末をしてくれるひつじ。攻守そろった理想的な組み合わせ。
